symbol,side,amount,open_time,open_price,close_time,close_price,value,notional,profit,profit_percent
ETH-PERP,buy,0.00999972134768311,2022-02-02 19:45:00,2801.6,2022-02-02 21:45:00,2720.0,28.015219327668998,28.015219327668998,-0.8546273849462971,-3.0484486102446677
SOL-PERP,buy,0.2523103516722302,2022-02-03 02:00:00,109.75,2022-02-03 03:30:00,106.93091243030644,27.691061096027266,55.38212219205453,-0.7495545621553588,-2.704953191895304
SOL-PERP,buy,0.2523103516722302,2022-02-03 02:00:00,109.75,2022-02-03 03:45:00,104.6125,27.691061096027266,27.691061096027266,-1.334104546148316,-4.8144465161402845
LUNA-PERP,sell,1.103378599319838,2022-02-03 04:15:00,49.249,2022-02-03 07:00:00,47.579,54.3402926379027,54.3402926379027,1.7678557007536786,3.2555843568761795
LUNA-PERP,sell,0.5784094483250193,2022-02-03 17:00:00,47.738,2022-02-03 20:45:00,48.736251816550045,27.61211024413977,55.22422048827954,-0.6164594156397037,-2.234132900574972
LUNA-PERP,sell,0.5784094483250193,2022-02-03 17:00:00,47.738,2022-02-03 21:00:00,49.189,27.61211024413977,27.61211024413977,-0.8785165543380634,-3.183863670424595
SOL-PERP,buy,0.2566570045619216,2022-02-04 22:15:00,106.1275,2022-02-04 23:30:00,111.433875,27.23836625164533,54.47673250329066,1.3228312570111567,4.85310282802039
SOL-PERP,buy,0.2566570045619216,2022-02-04 22:15:00,106.1275,2022-02-05 07:30:00,111.805,27.23836625164533,27.23836625164533,1.418016411547629,5.202310892328033
ETH-PERP,buy,0.009505624237182108,2022-02-04 22:15:00,2865.5,2022-02-05 07:45:00,3008.775,27.23836625164533,54.47673250329066,1.322831257011158,4.853102828020396
ETH-PERP,buy,0.009505624237182108,2022-02-04 22:15:00,2865.5,2022-02-05 08:00:00,2984.9,27.23836625164533,27.23836625164533,1.0960433410935018,4.021080549844408
LUNA-PERP,buy,1.0100299811758255,2022-02-06 08:15:00,56.49,2022-02-06 09:00:00,57.03,57.05659363662239,57.05659363662239,0.46515516741079477,0.8146819796508964
SOL-PERP,buy,0.2489751030870395,2022-02-06 16:45:00,115.05,2022-02-06 21:45:00,113.4209547163548,28.644585610163894,57.28917122032779,-0.4454102230810467,-1.5538666192653774
SOL-PERP,buy,0.2489751030870395,2022-02-06 16:45:00,115.05,2022-02-06 22:00:00,112.9575,28.644585610163894,28.644585610163894,-0.5607181367816128,-1.9561320113730036
ETH-PERP,buy,0.018725221605353972,2022-02-07 06:30:00,3032.6,2022-02-07 07:00:00,3057.0,56.78610704039645,56.78610704039645,0.37707503052906943,0.6635624139143086
SOL-PERP,sell,0.26280423697807137,2022-02-10 20:45:00,108.3975,2022-02-10 22:15:00,111.27058356891291,28.48732227783049,56.97464455566098,-0.795469327265928,-2.794318602796544
LUNA-PERP,sell,0.5137386571537121,2022-02-10 20:45:00,55.451,2022-02-10 22:15:00,56.2386574824524,28.487322277830494,56.97464455566099,-0.444815603589266,-1.5625448691978725
LUNA-PERP,sell,0.5137386571537121,2022-02-10 20:45:00,55.451,2022-02-10 22:30:00,56.328,28.487322277830494,28.487322277830494,-0.49074643767439563,-1.7238903538404664
SOL-PERP,sell,0.26280423697807137,2022-02-10 20:45:00,108.3975,2022-02-10 22:45:00,113.2325,28.48732227783049,28.48732227783049,-1.3114301979179923,-4.60678202503002
LUNA-PERP,sell,1.0164494056095976,2022-02-11 02:15:00,54.556,2022-02-11 03:30:00,53.094,55.45341377243721,55.45341377243721,1.4094544860415148,2.543471536461612
SOL-PERP,sell,0.522401311771702,2022-02-11 06:15:00,107.5,2022-02-11 06:30:00,106.715,56.158141015457964,56.158141015457964,0.3317506918399677,0.5911575312020815
SOL-PERP,sell,0.5343074169840909,2022-02-12 01:30:00,105.415,2022-02-12 02:00:00,100.705,56.32401636137794,56.32401636137794,2.4394959226429402,4.3342164207826075
LUNA-PERP,sell,1.0526672964037294,2022-02-11 23:30:00,53.506,2022-02-12 03:30:00,52.557,56.32401636137794,56.32401636137794,0.920826928266215,1.6360196203428519
ETH-PERP,sell,0.010037756167035703,2022-02-13 04:45:00,2889.3,2022-02-13 07:45:00,2947.335703624143,29.002088893416257,58.004177786832514,-0.6235589501816527,-2.151554494912085
LUNA-PERP,sell,0.5630817553958035,2022-02-13 04:45:00,51.506,2022-02-13 07:45:00,52.937392604901106,29.002088893416257,58.004177786832514,-0.847158178821508,-2.9230708452087293
LUNA-PERP,sell,0.5630817553958035,2022-02-13 04:45:00,51.506,2022-02-13 08:00:00,53.205,29.002088893416257,29.002088893416257,-0.9979484999999427,-3.443364224409181
ETH-PERP,sell,0.010037756167035703,2022-02-13 04:45:00,2889.3,2022-02-13 20:30:00,2949.2,29.002088893416257,29.002088893416257,-0.6422854019723004,-2.2161690458092935
SOL-PERP,sell,0.6114875237786418,2022-02-13 04:45:00,94.8575,2022-02-13 23:30:00,94.16,58.004177786832514,58.004177786832514,0.34560525771752626,0.5962455879197739
ETH-PERP,sell,0.01949060916764893,2022-02-13 23:15:00,2896.2,2022-02-14 02:00:00,2850.5,56.44870227134482,56.44870227134482,0.812316160368947,1.440042281375156
SOL-PERP,sell,0.30854950888888444,2022-02-14 17:00:00,92.4125,2022-02-14 20:00:00,94.32407383901032,28.513831490194033,57.027662980388065,-0.6301474039362082,-2.211519052865078
SOL-PERP,sell,0.30854950888888444,2022-02-14 17:00:00,92.4125,2022-02-14 20:15:00,94.81,28.513831490194033,28.513831490194033,-0.7801846348606678,-2.738078700268069
ETH-PERP,sell,0.00978092820245027,2022-02-15 02:15:00,2879.2,2022-02-15 05:15:00,2937.4008229989354,28.161248480494816,56.32249696098963,-0.6090822995985499,-2.16435346000309
ETH-PERP,sell,0.00978092820245027,2022-02-15 02:15:00,2879.2,2022-02-15 05:30:00,2945.5,28.161248480494816,28.161248480494816,-0.6883552205730203,-2.4460471176725593
LUNA-PERP,buy,1.0313587781053304,2022-02-15 06:15:00,53.981,2022-02-15 09:00:00,55.511,55.67377820090384,55.67377820090384,1.4989310557685411,2.6904632421149914
SOL-PERP,buy,0.27247733298943916,2022-02-16 06:30:00,103.5375,2022-02-16 08:15:00,102.73290175253639,28.211621864394054,56.42324372878811,-0.2585775908577939,-0.9159229285031143
SOL-PERP,buy,0.27247733298943916,2022-02-16 06:30:00,103.5375,2022-02-16 11:15:00,102.4375,28.211621864394054,28.211621864394054,-0.3390115293521312,-1.200832723866196
LUNA-PERP,buy,0.9883327023558762,2022-02-16 15:00:00,56.787,2022-02-16 15:30:00,57.661,56.12444916868314,56.12444916868314,0.7846238910755833,1.397029369842092
SOL-PERP,buy,0.2690916678749731,2022-02-16 15:00:00,104.285,2022-02-16 17:30:00,102.21196787313767,28.062224584341568,56.124449168683135,-0.5967323020230635,-2.1249736627746785
SOL-PERP,buy,0.2690916678749731,2022-02-16 15:00:00,104.285,2022-02-16 17:45:00,102.1275,28.062224584341568,28.062224584341568,-0.6194459921669224,-2.205857491547634
ETH-PERP,buy,0.008929100834817445,2022-02-17 02:15:00,3130.7,2022-02-17 10:45:00,3107.9815115387787,27.954335983562974,55.90867196712595,-0.24184974568986764,-0.8645548562966076
SOL-PERP,sell,0.5548972454679761,2022-02-17 10:15:00,100.755,2022-02-17 10:45:00,99.735,55.90867196712593,55.90867196712593,0.4881192462566205,0.8736769304092683
ETH-PERP,buy,0.008929100834817445,2022-02-17 02:15:00,3130.7,2022-02-17 11:00:00,3084.8,27.954335983562974,27.954335983562974,-0.4486949066852812,-1.6039767148143216
ETH-PERP,buy,0.008917493730476284,2022-02-17 15:15:00,3129.1,2022-02-17 15:45:00,3073.0119983668624,27.90372963203334,55.80745926406668,-0.5388795093212523,-1.9298587129112033
ETH-PERP,buy,0.008917493730476284,2022-02-17 15:15:00,3129.1,2022-02-17 16:00:00,3066.4,27.90372963203334,27.90372963203334,-0.5978006895858746,-2.1408698037799514
SOL-PERP,sell,0.5575344469189586,2022-02-17 16:15:00,99.0775,2022-02-17 22:15:00,97.49,55.23911916461312,55.23911916461312,0.8083707278075308,1.4644277387651277
ETH-PERP,sell,0.019229119994649373,2022-02-18 18:15:00,2893.7,2022-02-18 22:00:00,2851.8,55.643304528516886,55.643304528516886,0.7283634915253195,1.3099036969379811
SOL-PERP,sell,0.5921862927073767,2022-02-18 18:45:00,93.9625,2022-02-18 22:00:00,93.06,55.643304528516886,55.643304528516886,0.45692161651890384,0.8217371156750033
LUNA-PERP,sell,1.0934464810665951,2022-02-18 18:30:00,50.888,2022-02-18 22:30:00,49.845,55.64330452851689,55.64330452851689,1.0633623786883695,1.9123724997688738
SOL-PERP,sell,0.625400774175203,2022-02-19 16:00:00,90.77,2022-02-19 18:45:00,89.0325,56.767628271883176,56.767628271883176,1.0079198092403685,1.7767623521327756
SOL-PERP,sell,0.6373424012519847,2022-02-20 08:15:00,89.86,2022-02-20 11:30:00,88.1425,57.27158817650334,57.27158817650334,1.0152215956050872,1.7738861115534097
ETH-PERP,sell,0.02096631577701836,2022-02-20 08:00:00,2731.6,2022-02-20 11:45:00,2688.6,57.27158817650334,57.27158817650334,0.8220024410695737,1.4362762969076168
ETH-PERP,sell,0.011165515426134138,2022-02-21 04:15:00,2605.8,2022-02-21 06:00:00,2634.055152981368,29.09510009742034,58.19020019484068,-0.35643732496016123,-1.2259349672967486
ETH-PERP,sell,0.011165515426134138,2022-02-21 04:15:00,2605.8,2022-02-21 06:15:00,2650.7,29.09510009742034,29.09510009742034,-0.5424157149196488,-1.8655913541197875
SOL-PERP,sell,0.6632677465384041,2022-02-22 01:15:00,87.055,2022-02-22 05:15:00,85.5775,57.74077367490078,57.74077367490078,0.8998269970324964,1.5594825975564
ETH-PERP,sell,0.02209073902934455,2022-02-22 01:30:00,2613.8,2022-02-22 06:45:00,2571.6,57.74077367490079,57.74077367490079,0.8520446643244172,1.4766714387729423
LUNA-PERP,buy,1.0724465211332355,2022-02-23 06:45:00,54.657,2022-02-23 12:00:00,56.461,58.616709505579244,58.616709505579244,1.8512758453496696,3.1560639864516125
LUNA-PERP,buy,0.8879363441289362,2022-02-25 19:15:00,67.057,2022-02-26 01:45:00,69.353,59.542347428254075,59.542347428254075,1.9539154684281859,3.279260507325273
ETH-PERP,buy,0.021425796630485088,2022-02-27 02:15:00,2824.6,2022-02-27 04:15:00,2847.0,60.51930516246818,60.51930516246818,0.3948748608042475,0.6520211041678224
SOL-PERP,buy,0.3307642665697181,2022-02-27 04:15:00,91.7825,2022-02-27 06:15:00,90.3134845010612,30.35837129643515,60.7167425928703,-0.5280594254171878,-1.7382027422844022
SOL-PERP,buy,0.3307642665697181,2022-02-27 04:15:00,91.7825,2022-02-27 06:30:00,89.9875,30.35837129643515,30.35837129643515,-0.6358079730067052,-2.0928765003548975
ETH-PERP,buy,0.022342488907173826,2022-02-28 21:30:00,2691.5,2022-02-28 22:30:00,2792.2,60.13480889365835,60.13480889365835,2.1641249784582155,3.596271760798464
SOL-PERP,buy,0.6173544915579615,2022-03-01 19:30:00,99.16,2022-03-01 21:00:00,100.9425,61.21687138288746,61.21687138288746,1.013960457199188,1.6551828907340589
ETH-PERP,buy,0.020783890603275432,2022-03-01 19:30:00,2945.4,2022-03-01 21:15:00,3028.4,61.21687138288746,61.21687138288746,1.6381517560917642,2.674108975214593
LUNA-PERP,buy,0.3406180697190492,2022-03-02 02:15:00,91.808,2022-03-02 04:45:00,88.66035178725174,31.271463744766468,62.542927489532936,-1.1151754055227343,-3.5636174177458595
SOL-PERP,buy,0.6177530375400795,2022-03-02 10:15:00,100.34,2022-03-02 10:45:00,104.585,61.985339786771576,61.985339786771576,2.533746515505105,4.084795118202984
LUNA-PERP,buy,0.3406180697190492,2022-03-02 02:15:00,91.808,2022-03-02 11:00:00,93.953,31.271463744766468,31.271463744766468,0.6863342722730026,2.193226962283594
ETH-PERP,buy,0.010545902338278056,2022-03-02 10:45:00,2998.9,2022-03-02 15:15:00,2953.2705995254178,31.626106522262063,63.252213044524126,-0.5251429080494767,-1.6593113185920376
ETH-PERP,buy,0.010545902338278056,2022-03-02 10:45:00,2998.9,2022-03-02 20:30:00,2953.3,31.626106522262063,31.626106522262063,-0.5248330705540044,-1.6583323148669928
LUNA-PERP,buy,0.33097393047522505,2022-03-02 21:45:00,95.28,2022-03-03 01:00:00,91.24903930253443,31.535196095679442,63.070392191358884,-1.3773582801313455,-4.364630553089485
LUNA-PERP,buy,0.33097393047522505,2022-03-02 21:45:00,95.28,2022-03-03 01:15:00,92.083,31.535196095679442,31.535196095679442,-1.1015322437042372,-3.4905814670285022
ETH-PERP,buy,0.010412466517757195,2022-03-02 21:45:00,3028.6,2022-03-03 02:00:00,2919.809313674679,31.535196095679442,63.070392191358884,-1.1761357077750185,-3.7269880457282687
