symbol,side,amount,open_time,open_price,close_time,close_price,notional,profit,profit_percent
LUNA-PERP,buy,4.263831504674555,2021-04-14 19:00:00,16.1,2021-04-14 21:30:00,15.375705206103802,68.64768722526034,-3.1822159333291182,-4.632333686546566
ETH-PERP,sell,0.03100452157323644,2021-04-19 21:30:00,2162.8,2021-04-19 22:30:00,2149.9,67.05657925859578,0.3063590881625164,0.4571865924789764
ETH-PERP,buy,0.028331053746438913,2021-04-21 20:00:00,2372.3,2021-04-22 06:30:00,2344.610969072062,67.20975880267704,-0.8780039641335884,-1.3054499925459415
ETH-PERP,sell,0.030040381887168864,2021-04-24 17:30:00,2222.7,2021-04-24 18:30:00,2214.5,66.77075682061023,0.15302450371795362,0.22933946415569129
LUNA-PERP,buy,4.535400574833381,2021-04-24 23:30:00,14.739,2021-04-25 01:30:00,15.163,66.8472690724692,1.8280775601372907,2.732794961296283
ETH-PERP,sell,0.03051074242538514,2021-04-26 04:00:00,2220.9,2021-04-26 06:30:00,2309.905603077818,67.76130785253787,-2.8123937998378596,-4.153349372566203
ETH-PERP,buy,0.024717865879165184,2021-04-28 18:30:00,2684.5,2021-04-30 00:30:00,2722.2518629674405,66.35511095261893,0.83959512834429,1.2644207971671968
LUNA-PERP,sell,4.062889477872822,2021-04-30 00:00:00,16.332,2021-04-30 03:30:00,16.091,66.35511095261894,0.8869446182886098,1.337599925139872
LUNA-PERP,buy,3.999903649267206,2021-05-02 09:30:00,16.805,2021-05-02 11:00:00,16.478862196325334,67.2183808259354,-1.397712360384825,-2.0779058182752586
LUNA-PERP,buy,3.950559724773903,2021-05-02 15:30:00,16.838,2021-05-02 17:00:00,17.32,66.51952464574298,1.8097095339858509,2.7186658850623204
ETH-PERP,buy,0.022868124885611147,2021-05-03 01:30:00,2948.4,2021-05-03 02:30:00,2975.9,67.4243794127359,0.5340390917724356,0.7915023179338266
SOL-PERP,buy,1.3931137879938693,2021-05-03 12:30:00,48.59,2021-05-03 14:30:00,48.5975,67.69139895862212,-0.08432691897950936,-0.12448838807279014
ETH-PERP,buy,0.019659189067197224,2021-05-04 18:00:00,3441.1,2021-05-04 20:30:00,3521.5,67.64923549913236,1.4847834521431755,2.1932913503223137
LUNA-PERP,sell,4.1324246057525045,2021-05-04 22:00:00,16.55,2021-05-05 10:30:00,16.795262647409267,68.39162722520395,-1.1099871477206533,-1.6241237824933765
SOL-PERP,sell,1.549754609660029,2021-05-06 13:30:00,43.7725,2021-05-07 10:00:00,42.585,67.83663365134362,1.7466505453786796,2.5765931520160468
LUNA-PERP,sell,4.138406247306689,2021-05-08 07:00:00,16.603,2021-05-08 16:30:00,16.947141695303316,68.70995892403296,-1.521389022994853,-2.215770122926471
ETH-PERP,buy,0.019227636469576877,2021-05-08 11:30:00,3573.5,2021-05-08 21:30:00,3673.4,68.70995892403297,1.8233023521987668,2.6517654236409784
SOL-PERP,sell,1.5532829321295871,2021-05-10 18:00:00,44.3325,2021-05-11 03:00:00,42.115875,68.86091558863492,3.3490506296532674,4.866906834784361
SOL-PERP,buy,1.4450282387392896,2021-05-13 05:00:00,48.8125,2021-05-13 07:00:00,42.962921700187,70.53544090346158,-8.545638481131629,-12.106907689591687
ETH-PERP,sell,0.01784323073645405,2021-05-16 20:00:00,3713.6,2021-05-16 23:30:00,3622.5,66.26262166289575,1.5338885125869761,2.316483936428921
ETH-PERP,sell,0.020353313065675536,2021-05-17 23:00:00,3293.3,2021-05-18 00:30:00,3128.635,67.02956591918925,3.259982938479771,4.866906834784353
LUNA-PERP,sell,4.601847009948333,2021-05-18 20:30:00,14.92,2021-05-19 01:00:00,15.433786402322283,68.65955738842914,-2.4621448561162045,-3.5885310924343314
ETH-PERP,sell,0.02529295358429462,2021-05-21 18:30:00,2665.9,2021-05-21 21:30:00,2532.605,67.42848496037102,3.2793843660476507,4.866906834784357
ETH-PERP,sell,0.031039087337495445,2021-05-23 12:30:00,2225.2,2021-05-23 14:30:00,2177.4,69.06817714339486,1.3880114945938373,2.0110329252767003
ETH-PERP,buy,0.024149190975731018,2021-05-27 07:00:00,2888.8,2021-05-27 08:30:00,2727.822249300987,69.76218289069176,-3.982428262809926,-5.704584272092475
ETH-PERP,buy,0.023685376842444622,2021-05-27 20:30:00,2861.3,2021-05-28 04:30:00,2712.1744581961757,67.7709687592868,-3.6245015444621833,-5.344421415915139
ETH-PERP,sell,0.027417682166128658,2021-05-29 16:30:00,2405.7,2021-05-29 22:30:00,2285.4149999999995,65.9587179870557,3.2079022493004654,4.866906834784365
ETH-PERP,buy,0.024293505847220866,2021-06-03 12:30:00,2781.1,2021-06-03 19:30:00,2779.3908412907713,67.56266911170594,-0.1360801288328882,-0.20127230194309284
LUNA-PERP,sell,10.022962436484928,2021-06-04 08:30:00,6.734,2021-06-04 09:30:00,6.3972999999999995,67.49462904728951,3.2826012837149365,4.866906834784366
LUNA-PERP,sell,10.81770140653215,2021-06-05 17:00:00,6.391,2021-06-06 03:00:00,6.07145,69.13592968914696,3.3624259404316734,4.8669068347843645
SOL-PERP,buy,1.716363127953534,2021-06-06 17:00:00,41.26,2021-06-06 18:00:00,41.04,70.81714265936282,-0.4764795679511732,-0.6723601767662193
LUNA-PERP,sell,13.384961668004404,2021-06-09 09:30:00,5.273,2021-06-09 13:30:00,5.6591655751676315,70.57890287538721,-5.2712400531419465,-7.473809156837412
ETH-PERP,sell,0.02841982802058654,2021-06-17 19:30:00,2390.7,2021-06-18 01:00:00,2311.4,67.94328284881624,2.1601493506975817,3.1815691321064334
LUNA-PERP,sell,11.114556330576841,2021-06-18 00:30:00,6.113,2021-06-18 10:00:00,6.270898490635069,67.94328284881624,-1.8513207448329476,-2.7267118977151714
ETH-PERP,sell,0.03131648523878987,2021-06-20 06:00:00,2174.5,2021-06-20 06:30:00,2178.2,68.09769715174856,-0.21128888109273564,-0.3104905096018302
LUNA-PERP,sell,14.716894526234242,2021-06-23 06:30:00,4.62,2021-06-23 08:30:00,5.069865496363404,67.9920527112022,-6.720446370910587,-9.891088311836855
SOL-PERP,buy,1.8819780017688548,2021-07-01 03:00:00,34.3425,2021-07-01 11:00:00,33.844401245908294,64.6318295257469,-1.027239271616585,-1.5882587800066412
